"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAPOWER","EQ","12-Mar-2015","         80.85","         81.25","         82.40","         81.20","         81.60","         81.45","         81.61","    3011012","       2457.26","      14520","    1606286","         53.35"
"TATAPOWER","EQ","13-Mar-2015","         81.45","         82.70","         82.70","         79.40","         80.00","         79.70","         80.39","    3689687","       2966.21","      15042","    2068338","         56.06"
"TATAPOWER","EQ","16-Mar-2015","         79.70","         80.70","         81.45","         79.50","         81.00","         81.00","         80.52","    3030132","       2439.88","      11696","    1644269","         54.26"
"TATAPOWER","EQ","17-Mar-2015","         81.00","         81.65","         81.80","         80.05","         80.40","         80.55","         80.67","    2387387","       1925.97","      10436","    1059246","         44.37"
"TATAPOWER","EQ","18-Mar-2015","         80.55","         80.15","         82.10","         78.85","         80.30","         80.35","         80.26","    5906417","       4740.35","      25914","    1471308","         24.91"
"TATAPOWER","EQ","19-Mar-2015","         80.35","         80.95","         81.75","         79.50","         79.80","         79.80","         80.79","    2905760","       2347.43","      12976","    1558676","         53.64"
"TATAPOWER","EQ","20-Mar-2015","         79.80","         80.00","         80.40","         78.65","         78.90","         78.95","         79.37","    2398900","       1904.09","      11964","    1224253","         51.03"
"TATAPOWER","EQ","23-Mar-2015","         78.95","         79.50","         79.60","         78.35","         78.80","         78.75","         78.79","    2500710","       1970.21","       9774","    1270273","         50.80"
"TATAPOWER","EQ","24-Mar-2015","         78.75","         78.55","         79.45","         78.15","         78.50","         78.35","         78.78","    2560026","       2016.73","       8412","    1239650","         48.42"
"TATAPOWER","EQ","25-Mar-2015","         78.35","         78.90","         78.90","         77.25","         77.50","         77.35","         77.76","    1892901","       1471.87","       8919","     942366","         49.78"
"TATAPOWER","EQ","26-Mar-2015","         77.35","         77.50","         78.25","         76.00","         76.50","         76.20","         76.84","    4567870","       3509.75","      20837","    2357060","         51.60"
"TATAPOWER","EQ","27-Mar-2015","         76.20","         76.95","         76.95","         74.00","         74.80","         74.90","         75.27","    3761113","       2831.05","      19815","    1965511","         52.26"
"TATAPOWER","EQ","30-Mar-2015","         74.90","         75.60","         75.85","         73.55","         74.70","         74.35","         74.23","    4614892","       3425.43","      19198","    2215246","         48.00"
"TATAPOWER","EQ","31-Mar-2015","         74.35","         75.30","         77.50","         74.90","         77.05","         77.10","         76.75","    6840776","       5250.26","      29272","    3441562","         50.31"
"TATAPOWER","EQ","01-Apr-2015","         77.10","         77.05","         77.90","         76.70","         77.80","         77.50","         77.46","    2798293","       2167.65","      17462","    1659540","         59.31"
"TATAPOWER","EQ","06-Apr-2015","         77.50","         78.00","         78.30","         76.10","         77.60","         77.25","         76.72","    4749503","       3643.81","      12024","    3072681","         64.69"
"TATAPOWER","EQ","07-Apr-2015","         77.25","         77.80","         79.00","         77.20","         78.95","         78.40","         77.86","    2546427","       1982.72","      11326","     930979","         36.56"
"TATAPOWER","EQ","08-Apr-2015","         78.40","         78.90","         79.00","         77.15","         77.35","         77.35","         77.79","    2227241","       1732.67","      12523","    1039738","         46.68"
"TATAPOWER","EQ","09-Apr-2015","         77.35","         77.80","         78.60","         77.35","         78.15","         78.35","         77.99","    1948487","       1519.67","      10909","     862619","         44.27"
"TATAPOWER","EQ","10-Apr-2015","         78.35","         78.50","         79.60","         78.00","         78.75","         78.90","         78.91","    1930751","       1523.64","      11155","     706972","         36.62"
"TATAPOWER","EQ","13-Apr-2015","         78.90","         79.20","         80.45","         78.90","         79.95","         80.15","         79.97","    2412265","       1928.99","      11918","     988685","         40.99"
"TATAPOWER","EQ","15-Apr-2015","         80.15","         80.50","         82.35","         79.40","         80.80","         81.20","         81.23","    4619530","       3752.42","      17608","    2816009","         60.96"
"TATAPOWER","EQ","16-Apr-2015","         81.20","         81.20","         81.30","         79.35","         80.00","         80.20","         80.19","    1788962","       1434.63","       9301","     820528","         45.87"
"TATAPOWER","EQ","17-Apr-2015","         80.20","         80.00","         81.50","         79.25","         80.40","         80.45","         80.65","    1602765","       1292.66","       8201","     613986","         38.31"
"TATAPOWER","EQ","20-Apr-2015","         80.45","         80.40","         81.05","         78.45","         78.65","         78.75","         79.66","    1983867","       1580.43","      10911","     509300","         25.67"
"TATAPOWER","EQ","21-Apr-2015","         78.75","         78.50","         79.40","         77.15","         77.50","         77.50","         78.22","    2395252","       1873.46","      15060","     969786","         40.49"
"TATAPOWER","EQ","22-Apr-2015","         77.50","         77.60","         79.45","         76.55","         78.85","         78.65","         77.85","    3366177","       2620.54","      17914","    1301364","         38.66"
