"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAINVEST","EQ","05-Oct-2015","        541.10","        540.00","        551.15","        540.00","        544.55","        544.90","        546.65","       6689","         36.57","        718","       2907","         43.46"
"TATAINVEST","EQ","06-Oct-2015","        544.90","        548.85","        548.95","        474.10","        538.65","        538.70","        524.95","      19698","        103.40","       1164","       8610","         43.71"
"TATAINVEST","EQ","07-Oct-2015","        538.70","        536.05","        541.80","        530.05","        538.00","        537.60","        537.91","       3291","         17.70","        309","       1835","         55.76"
"TATAINVEST","EQ","08-Oct-2015","        537.60","        540.00","        551.85","        537.00","        539.00","        538.60","        542.73","       9750","         52.92","        732","       3583","         36.75"
"TATAINVEST","EQ","09-Oct-2015","        538.60","        541.95","        545.00","        540.00","        540.00","        540.25","        541.16","       4626","         25.03","        353","       2952","         63.81"
"TATAINVEST","EQ","12-Oct-2015","        540.25","        544.00","        545.05","        533.00","        541.95","        541.90","        542.78","       5673","         30.79","        388","       3350","         59.05"
"TATAINVEST","EQ","13-Oct-2015","        541.90","        540.25","        544.00","        540.00","        541.30","        541.20","        541.19","       4630","         25.06","        305","       3240","         69.98"
"TATAINVEST","EQ","14-Oct-2015","        541.20","        541.35","        545.00","        537.00","        540.00","        540.10","        541.50","       7115","         38.53","        387","       5031","         70.71"
"TATAINVEST","EQ","15-Oct-2015","        540.10","        540.20","        543.95","        532.35","        534.00","        536.35","        537.54","       4959","         26.66","        229","       4058","         81.83"
"TATAINVEST","EQ","16-Oct-2015","        536.35","        539.60","        545.00","        535.20","        536.55","        539.60","        541.13","      14645","         79.25","       1585","       6703","         45.77"
"TATAINVEST","EQ","19-Oct-2015","        539.60","        549.95","        549.95","        543.95","        545.25","        545.30","        546.52","       6533","         35.70","        490","       3498","         53.54"
"TATAINVEST","EQ","20-Oct-2015","        545.30","        545.55","        562.85","        542.35","        553.50","        554.30","        553.78","      32221","        178.44","       2307","      10433","         32.38"
"TATAINVEST","EQ","21-Oct-2015","        554.30","        553.15","        557.00","        547.05","        557.00","        555.65","        554.12","       7249","         40.17","        350","       4832","         66.66"
"TATAINVEST","EQ","23-Oct-2015","        555.65","        552.60","        559.20","        550.00","        556.20","        556.55","        555.61","       9920","         55.12","        961","       6135","         61.84"
"TATAINVEST","EQ","26-Oct-2015","        556.55","        558.80","        564.00","        553.90","        554.05","        554.90","        556.37","       5896","         32.80","        607","       4059","         68.84"
"TATAINVEST","EQ","27-Oct-2015","        554.90","        555.05","        556.05","        551.00","        551.85","        552.55","        552.52","       4310","         23.81","        338","       2997","         69.54"
"TATAINVEST","EQ","28-Oct-2015","        552.55","        548.55","        556.50","        548.55","        550.40","        550.95","        552.39","       7793","         43.05","        458","       5390","         69.16"
"TATAINVEST","EQ","29-Oct-2015","        550.95","        554.00","        557.05","        546.30","        547.50","        551.05","        552.55","       3948","         21.81","        172","       2721","         68.92"
"TATAINVEST","EQ","30-Oct-2015","        551.05","        552.20","        560.00","        551.15","        552.55","        553.00","        553.88","      11830","         65.52","       1366","       8070","         68.22"
"TATAINVEST","EQ","02-Nov-2015","        553.00","        553.00","        557.15","        543.00","        552.40","        555.15","        551.10","       7848","         43.25","       1333","       4620","         58.87"
"TATAINVEST","EQ","03-Nov-2015","        555.15","        563.95","        563.95","        552.20","        555.00","        555.30","        555.30","       4197","         23.31","        579","       2270","         54.09"
"TATAINVEST","EQ","04-Nov-2015","        555.30","        553.40","        574.70","        553.40","        555.05","        555.10","        560.38","      17727","         99.34","       1238","      10569","         59.62"
"TATAINVEST","EQ","05-Nov-2015","        555.10","        555.05","        560.00","        547.10","        547.10","        550.80","        551.84","      20851","        115.06","       1472","      12469","         59.80"
"TATAINVEST","EQ","06-Nov-2015","        550.80","        554.95","        558.00","        545.20","        555.00","        555.60","        553.06","      16631","         91.98","       1477","       9298","         55.91"
"TATAINVEST","EQ","09-Nov-2015","        555.60","        542.40","        554.50","        536.00","        551.00","        551.50","        544.52","       7042","         38.35","        387","       3664","         52.03"
"TATAINVEST","EQ","10-Nov-2015","        551.50","        546.20","        553.05","        542.50","        544.00","        544.75","        549.37","       3572","         19.62","        434","       2147","         60.11"
"TATAINVEST","EQ","11-Nov-2015","        544.75","        558.80","        558.80","        546.70","        553.10","        556.00","        553.95","       2389","         13.23","        178","       1381","         57.81"
"TATAINVEST","EQ","13-Nov-2015","        556.00","        556.00","        556.00","        548.00","        548.25","        551.70","        552.15","      18502","        102.16","       2840","      10750","         58.10"
"TATAINVEST","EQ","16-Nov-2015","        551.70","        542.55","        557.75","        542.55","        555.10","        555.10","        554.81","       5552","         30.80","        727","       4496","         80.98"
"TATAINVEST","EQ","17-Nov-2015","        555.10","        551.00","        558.00","        551.00","        555.10","        555.15","        555.19","       5225","         29.01","        831","       4611","         88.25"
"TATAINVEST","EQ","18-Nov-2015","        555.15","        555.00","        556.75","        547.00","        550.00","        553.55","        554.16","      12804","         70.95","       1703","       8864","         69.23"
"TATAINVEST","EQ","19-Nov-2015","        553.55","        550.05","        555.00","        549.10","        549.15","        550.10","        551.84","       8855","         48.87","        596","       5614","         63.40"
"TATAINVEST","EQ","20-Nov-2015","        550.10","        549.65","        553.90","        544.05","        545.10","        545.65","        548.15","       5593","         30.66","        360","       3162","         56.53"
"TATAINVEST","EQ","23-Nov-2015","        545.65","        548.00","        549.90","        544.40","        544.50","        545.35","        546.35","       4195","         22.92","        259","       1478","         35.23"
